title,payment_amount,title,customer_name,rental_date,return_date,replacement_cost,first_name,staff_name,city,country,store_id,col,USA
BLANKET BEVERLY,2.99,BLANKET BEVERLY,CHARLOTTE HUNTER,2005-05-24 22:53:30.000,2005-05-26 22:04:30.000,21.99,Mike,MikeHillyer,guas Lindas de Gois,Brazil,1,Below Avg,Other
FREAKY POCUS,2.99,FREAKY POCUS,TOMMY COLLAZO,2005-05-24 22:54:33.000,2005-05-28 19:40:33.000,16.99,Mike,MikeHillyer,Qomsheh,Iran,1,Below Avg,Other
GRADUATE LORD,3.99,GRADUATE LORD,MANUEL MURRELL,2005-05-24 23:03:39.000,2005-06-01 22:12:39.000,14.99,Mike,MikeHillyer,Jaffna,Sri Lanka,1,Below Avg,Other
LOVE SUICIDES,4.99,LOVE SUICIDES,ANDREW PURDY,2005-05-24 23:04:41.000,2005-06-03 01:43:41.000,21.99,Jon,JonStephens,Baku,Azerbaijan,2,Above Avg,Other
IDOLS SNATCHERS,6.99,IDOLS SNATCHERS,DELORES HANSEN,2005-05-24 23:05:21.000,2005-06-02 04:33:21.000,29.99,Mike,MikeHillyer,Jaroslavl,Russian Federation,1,Above Avg,Other
MYSTIC TRUMAN,0.99,MYSTIC TRUMAN,NELSON CHRISTENSON,2005-05-24 23:08:07.000,2005-05-27 01:32:07.000,19.99,Mike,MikeHillyer,Santiago de Compostela,Spain,1,Below Avg,Other
SWARM GOLD,1.99,SWARM GOLD,CASSANDRA WALTERS,2005-05-24 23:11:53.000,2005-05-29 20:34:53.000,12.99,Jon,JonStephens,Salinas,United States,2,Below Avg,USA
LAWLESS VISION,4.99,LAWLESS VISION,MINNIE ROMERO,2005-05-24 23:31:46.000,2005-05-27 23:33:46.000,29.99,Jon,JonStephens,Ciomas,Indonesia,2,Above Avg,Other
MATRIX SNOWMAN,4.99,MATRIX SNOWMAN,ELLEN SIMPSON,2005-05-25 00:00:40.000,2005-05-28 00:22:40.000,9.99,Mike,MikeHillyer,Po,Brazil,1,Above Avg,Other
HANGING DEEP,5.99,HANGING DEEP,DANNY ISOM,2005-05-25 00:02:21.000,2005-05-31 22:44:21.000,18.99,Jon,JonStephens,Okara,Pakistan,2,Above Avg,Other
